Name,Phone number,Address,Website
Ishaq Eye Hospital-Top Eye Specialist-Brig R Salahuddin ClinicWebsiteDirections           Saved (0) Saved Save     ,0307 0590556,"1st floor, the Midway One, Midway Commercial, Phase 7 Bahria Town, Islamabad, Rawalpindi, Islamabad Capital Territory 46000",http://www.ishaqeyehospital.com/
Dr Moosa Zulfiqar. Dentist. CDDC - Cardio Diabetic & Dental CentreWebsiteDirections           Saved (0) Saved Save     ,0336 9399938,"Cardio Diabetic & Dental Centre, Lower Ground Floor, IDC، G-8 Markaz, G-8 Markaz G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44000",https://cddcisb.business.site/?utm_source=gmb&utm_medium=referral
Maroof International HospitalWebsiteDirections           Saved (0) Saved Save     ,(051) 111 644 911,"10th Ave, F-10 Markaz F 10/3 F-10, Islamabad, Islamabad Capital Territory",https://www.maroof.com.pk/
Islamabad International Hospital & Research CenterWebsiteDirections           Saved (0) Saved Save     ,(051) 2304941,"Main Double Rd, Northern Strip FECHS E 11/2 E-11, Islamabad, Islamabad Capital Territory 44000",http://iihrc.com/
Max Health Hospital,(051) 8094762,"12-K Markaz Rd, G-8 Markaz G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44000",http://www.maxhealth.com.pk/
Islamabad Medical and Surgical Hospital,(051) 2603566,"G-6 Markaz G 6 Markaz G-6, Islamabad, Islamabad Capital Territory",http://www.imsh.pk/
Zobia Hospital G-9 IslamabadWebsiteDirections           Saved (0) Saved Save     ,(051) 2261128,"Street 30, G-9/1 G 9/1 G-9, Islamabad, Islamabad Capital Territory",https://zobiahospital.com/
Islamabad Dental Hospital,(051) 2321827,"Main Bazar Rd, Bhara Kahu, Islamabad, Islamabad Capital Territory",https://iideas.edu.pk/main/
KRL Hospital,(051) 9106270,"G- Kashmir Hwy, 1, Service Road South, G 9/1 G-9, Islamabad, Islamabad Capital Territory 44000",#
PAF Hospital Islamabad Unit 2WebsiteDirections           Saved (0) Saved Save     ,(051) 9563333,"Main Margalla Rd, E-9/1 E-9, Islamabad, Islamabad Capital Territory",https://www.pafhospital.pk/
CDA HospitalWebsiteDirections           Saved (0) Saved Save     ,(051) 9221334,"Street 31, G-6/2 G 6/2 G-6, Islamabad, Islamabad Capital Territory 46000",http://www.cda.gov.pk/hospital/cdah/icms/user/index.html
PIMS Hospital Islamabad,(051) 9261170,"G-8/3 G 8/3 G-8, Islamabad, Islamabad Capital Territory",http://pims.gov.pk/
Life Care International Hospital,(051) 2355501,"G-10 Markaz G 10 Markaz G-10, Islamabad, Islamabad Capital Territory",https://www.lifecare.org.pk/
Shifa Medical Centre,(051) 2228231,"Plot No, Savoy Arcade, 25 Hillal Rd, F-11 Markaz F 11 Markaz F-11, Islamabad, Islamabad Capital Territory",http://www.shifa.com.pk/
Quaid-e-Azam International HospitalWebsiteDirections           Saved (0) Saved Save     ,(051) 8449100,"Peshawar Rd, near Golra Morr، H-13, Islamabad, Rawalpindi, Islamabad Capital Territory",http://www.qih.com.pk/
Family Health Hospital,(051) 4446840,"St 30, I-10/4 I 10/4 I-10, Islamabad, Islamabad Capital Territory",http://www.familyhealthhospitalislamabad.enic.pk/
Islamabad Medical Complex (IMC),(051) 906 725 102,"Faqir Aipee Road, H-11/4 H 11/4 H-11, Islamabad, Islamabad Capital Territory",#
PAF HospitalWebsiteDirections           Saved (0) Saved Save     ,(051) 9563333,"University Rd, E-9/1 E-9, Islamabad, Islamabad Capital Territory",https://pafhospital.pk/
HBS General Hospital,(051) 2621044,"Ali Pur, Islamabad, Islamabad Capital Territory",https://hbs.edu.pk/
NORI Hospital (AECH),(051) 9260611,"Hanna Rd, G-8/3 G 8/3 G-8, Islamabad, Islamabad Capital Territory",http://www.noripaec.pk/
